"Data de inicio dos sintomas";"Casos confirmados"
"Ignorado";"424"
"2021/06/02";"2159"
"2021/06/03";"1915"
"2021/06/04";"2251"
"2021/06/05";"2188"
"2021/06/06";"1910"
"2021/06/07";"2388"
"2021/06/08";"2027"
"2021/06/09";"1861"
"2021/06/10";"2229"
"2021/06/11";"1892"
"2021/06/12";"1686"
"2021/06/13";"1438"
"2021/06/14";"2099"
"2021/06/15";"1875"
"2021/06/16";"1580"
"2021/06/17";"1528"
"2021/06/18";"1911"
"2021/06/19";"1592"
"2021/06/20";"1957"
"2021/06/21";"1803"
"2021/06/22";"1502"
"2021/06/23";"1463"
"2021/06/24";"1276"
"2021/06/25";"1857"
"2021/06/26";"1436"
"2021/06/27";"1174"
"2021/06/28";"1713"
"2021/06/29";"1282"
"2021/06/30";"1474"
"2021/07/01";"1941"
"2021/07/02";"1663"
"2021/07/03";"1360"
"2021/07/04";"1419"
"2021/07/05";"2044"
"2021/07/06";"1544"
"2021/07/07";"1568"
"2021/07/08";"1629"
"2021/07/09";"1709"
"2021/07/10";"1947"
"2021/07/11";"1427"
"2021/07/12";"1973"
"2021/07/13";"1632"
"2021/07/14";"1543"
"2021/07/15";"1676"
"2021/07/16";"1612"
"2021/07/17";"1475"
"2021/07/18";"1527"
"2021/07/19";"2025"
"2021/07/20";"2137"
"2021/07/21";"1493"
"2021/07/22";"1848"
"2021/07/23";"2109"
"2021/07/24";"2068"
"2021/07/25";"2053"
"2021/07/26";"2151"
"2021/07/27";"2018"
"2021/07/28";"1868"
"2021/07/29";"1775"
"2021/07/30";"2252"
"2021/07/31";"1943"
"2021/08/01";"2778"
"2021/08/02";"2724"
"2021/08/03";"2206"
"2021/08/04";"2098"
"2021/08/05";"2378"
"2021/08/06";"2550"
"2021/08/07";"2261"
"2021/08/08";"2350"
"2021/08/09";"2814"
"2021/08/10";"2805"
"2021/08/11";"2034"
"2021/08/12";"2047"
"2021/08/13";"2314"
"2021/08/14";"2125"
"2021/08/15";"2145"
"2021/08/16";"2185"
"2021/08/17";"1729"
"2021/08/18";"1620"
"2021/08/19";"1311"
"2021/08/20";"1746"
"2021/08/21";"1106"
"2021/08/22";"976"
"2021/08/23";"1013"
"2021/08/24";"632"
"2021/08/25";"426"
"2021/08/26";"208"
"2021/08/27";"104"
"2021/08/28";"44"
"Total";"1125234"
